Date,Longitude,Latitude,Individual_ID,Day_of_Month,Day_of_Year,SST_Temperature,SST_Thermal_Front,CHL_Concentration,CHL_Gradient,SST_File_Used,SST_Data_Quality,CHL_File_Used,CHL_Data_Quality,Week_of_Year,Month,Days_from_Start,Cumulative_Distance_km,Daily_Movement_km,SST_Preference,Thermal_Front_Category,Productivity_Class,SST_3Day_Mean,SST_3Day_Std,CHL_3Day_Mean,Front_3Day_Mean,SST_Deviation_from_Mean,CHL_Deviation_from_Mean,Ocean_Front_Index
2014-07-10,-90.905,28.054,128778,10,191,31.37323760986328,0.21601052582263947,0.43760563861167934,,AQUA_MODIS.20140710.L3m.DAY.SST.sst.4km.nc,0.1829817440414952,,0.0,28,7,0,0.0,0.0,Warm_Water,Moderate_Front,Mesotrophic,30.82234764099121,0.779076065354174,0.5093564045957802,0.20519085973501205,1.2593116760253906,-0.1100343819454267,
2014-07-11,-90.93759082,27.53110359,128778,11,192,30.27145767211914,0.19437119364738464,0.5811071705798811,,AQUA_MODIS.20140711.L3m.DAY.SST.sst.4km.nc,0.18422306348593964,,0.0,28,7,1,58.231741916083045,58.231741916083045,Moderate_Water,Moderate_Front,Eutrophic,30.532618204752605,0.7451907114781383,0.5698723496516064,0.22625300784905752,0.15753173828125,0.033467150022775116,
2014-07-12,-90.91488295,27.43337337,128778,12,193,29.95315933227539,0.26837730407714844,0.6909042397632585,,AQUA_MODIS.20140712.L3m.DAY.SST.sst.4km.nc,0.18137884194958848,,0.0,28,7,2,69.32731969075502,11.095577774671971,Moderate_Water,High_Front,Eutrophic,30.146329879760742,0.16970804542146214,0.597815671331796,0.2533116340637207,-0.1607666015625,0.1432642192061525,
2014-07-13,-90.85257259,27.4040434,128778,13,194,30.214372634887695,0.29718640446662903,0.5214356036522485,,AQUA_MODIS.20140713.L3m.DAY.SST.sst.4km.nc,0.18898169581618657,,0.0,28,7,3,76.28880045288867,6.9614807621336405,Moderate_Water,High_Front,Eutrophic,30.1993891398112,0.23909044342032906,0.5701249087998786,0.2342583785454432,0.10044670104980469,-0.02620441690485753,
2014-07-14,-90.83439362,27.3782348,128778,14,195,30.430635452270508,0.13721142709255219,0.49803488298412907,,AQUA_MODIS.20140714.L3m.DAY.SST.sst.4km.nc,0.18610891418038408,,0.0,29,7,4,79.67360631113402,3.384805858245358,Moderate_Water,Low_Front,Mesotrophic,30.096071243286133,0.4068265486557327,0.5121497923892487,0.22189479072888693,0.3167095184326172,-0.049605137572976965,
2014-07-15,-90.8179461,27.37501608,128778,15,196,29.643205642700195,0.23128654062747955,0.5169788905313685,,AQUA_MODIS.20140715.L3m.DAY.SST.sst.4km.nc,0.18941264253257886,,0.0,29,7,5,81.3366277229534,1.663021411819372,Moderate_Water,Moderate_Front,Eutrophic,30.207796096801758,0.49255130322894924,0.5035206656474926,0.20649336775143942,-0.4707202911376953,-0.03066113002573756,
2014-07-16,-90.85568139,27.37548026,128778,16,197,30.54954719543457,0.2509821355342865,0.4955482234269804,,AQUA_MODIS.20140716.L3m.DAY.SST.sst.4km.nc,0.18675607103052128,,0.0,29,7,6,85.06306822910292,3.726440506149524,Moderate_Water,High_Front,Mesotrophic,29.6127986907959,0.9523161294412004,0.5584511832541819,0.20592747131983438,0.4356212615966797,-0.05209179713012563,
2014-07-17,-90.93694005,27.37834731,128778,17,198,28.64564323425293,0.13551373779773712,0.6628264358041965,,AQUA_MODIS.20140717.L3m.DAY.SST.sst.4km.nc,0.19468934863683127,,0.0,29,7,7,93.09297482539814,8.029906596295218,Cool_Water,Low_Front,Eutrophic,29.22672971089681,1.1484059558380213,0.568726719690749,0.18133865793546042,-1.468282699584961,0.1151864152470905,
2014-07-18,-91.35484053,27.36515839,128778,18,199,28.48499870300293,0.1575201004743576,0.5478054998410699,,AQUA_MODIS.20140718.L3m.DAY.SST.sst.4km.nc,0.19809783307613169,,0.0,29,7,8,134.38491664079305,41.2919418153949,Cool_Water,Low_Front,Eutrophic,28.460213979085285,0.19898267288204693,0.5947491727285491,0.14184434215227762,-1.628927230834961,0.00016547928396382083,
2014-07-19,-91.78655149,27.40706444,128778,19,200,28.25,0.13249918818473816,0.5736155825403808,,AQUA_MODIS.20140719.L3m.DAY.SST.sst.4km.nc,0.19210334683641975,,0.0,29,7,9,177.26294696314318,42.87803032235012,Cool_Water,Low_Front,Eutrophic,28.806666056315105,0.7696806360133229,0.5759592282819387,0.12908769647280374,-1.8639259338378906,0.025975561983274775,
2014-07-20,-92.30858723,27.27917865,128778,20,201,29.684999465942383,0.09724380075931549,0.6064566024643652,,AQUA_MODIS.20140720.L3m.DAY.SST.sst.4km.nc,0.1792568747856653,,0.0,29,7,10,230.75000866605677,53.48706170291358,Moderate_Water,Low_Front,Eutrophic,29.978238423665363,1.891978850149294,0.5860714241745912,0.13761308789253235,-0.4289264678955078,0.058816581907259136,
2014-07-21,-92.7755678,27.18663507,128778,21,202,31.99971580505371,0.1830962747335434,0.5781420875190276,,AQUA_MODIS.20140721.L3m.DAY.SST.sst.4km.nc,0.18492932313100138,,0.0,30,7,11,278.05291346142013,47.302904795363375,Warm_Water,Moderate_Front,Eutrophic,30.51668421427409,1.2875043551430778,0.5845267892795876,0.15715899070103964,1.8857898712158203,0.030502066961921592,
2014-07-22,-92.96273672,27.19011476,128778,22,203,29.865337371826172,0.19113689661026,0.5689816778553698,,AQUA_MODIS.20140722.L3m.DAY.SST.sst.4km.nc,0.1799010309499314,,0.0,30,7,12,296.5696265382606,18.516713076840475,Moderate_Water,Moderate_Front,Eutrophic,30.54335085550944,1.2622464408199738,0.5594711428110952,0.23917851348718008,-0.24858856201171875,0.02134165729826376,
